arm,rho,stride,anls,vis_tok
dense,,,0.9660682121231994,3684.11
uniform,0.5,2,0.879825049730037,2717.65
csf,0.5,2,0.9376077725627598,2606.58
uniform,0.35,2,0.8617254956609176,2213.88
csf,0.35,2,0.9325333197126133,2149.72
uniform,0.25,2,0.812239235732678,1857.05
csf,0.25,2,0.8739936487638533,1823.54
uniform,0.15,2,0.7384186336061153,1494.34
csf,0.15,2,0.7523496502502895,1479.02
