arm,rho,stride,ttft_ms,throughput_tps,vis_tok
dense,,,953.9781734347343,7.000242321054517,3099.5714285714284
csf-50,0.5,2,849.5784191680806,7.691991827127779,2200.5
csf-35,0.35,2,779.0126143289464,8.247160673790559,1814.357142857143
csf-25,0.25,2,738.6359477947865,7.8822328993645545,1538.5
