arm,rho,stride,anls,vis_tok
dense,,,0.96875,2536.0
uniform,0.5,2,0.8362499999999999,1874.375
csf,0.5,2,0.8244642857142856,1797.375
uniform,0.35,2,0.7737499999999999,1526.5
csf,0.35,2,0.8294642857142858,1488.375
uniform,0.25,2,0.6794642857142857,1282.75
csf,0.25,2,0.83875,1263.625
uniform,0.15,2,0.69125,1033.625
csf,0.15,2,0.745,1025.5
