arm,rho,stride,anls,vis_tok
dense,,,0.8389559748427673,5145.53
uniform,0.5,2,0.7351516489275924,3785.15
csf,0.5,2,0.7283333333333334,3632.46
uniform,0.35,2,0.7143258570723888,3078.83
csf,0.35,2,0.7034761768629693,2997.82
uniform,0.25,2,0.623067817402723,2580.68
csf,0.25,2,0.6287564102564103,2537.58
uniform,0.15,2,0.558084951735895,2071.14
csf,0.15,2,0.6114260323010323,2055.96
